timestamp,open,high,low,close,volume,year_month
2017-09-01,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600,2017_09
2017-09-02,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500,2017_09
2017-09-03,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800,2017_09
2017-09-04,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400,2017_09
2017-09-05,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700,2017_09
2017-09-06,4366.49000000,4662.87000000,4335.26000000,4619.77000000,807.36372600,2017_09
2017-09-07,4619.77000000,4788.59000000,4438.19000000,4691.61000000,500.42997500,2017_09
2017-09-08,4691.66000000,4735.39000000,4028.93000000,4282.80000000,1132.25504600,2017_09
2017-09-09,4282.80000000,4426.62000000,4150.06000000,4258.81000000,658.78295200,2017_09
2017-09-10,4258.81000000,4283.00000000,3801.00000000,4130.37000000,660.37327500,2017_09
2017-09-11,4153.62000000,4334.43000000,4098.91000000,4208.47000000,699.98906500,2017_09
2017-09-12,4208.60000000,4394.59000000,4040.80000000,4163.72000000,879.63031900,2017_09
2017-09-13,4159.72000000,4165.38000000,3760.00000000,3944.69000000,913.46254500,2017_09
2017-09-14,3944.00000000,3993.00000000,3165.13000000,3189.02000000,1665.02154300,2017_09
2017-09-15,3188.01000000,3856.00000000,2817.00000000,3700.00000000,1968.86649200,2017_09
2017-09-16,3674.01000000,3950.00000000,3470.66000000,3714.95000000,1297.56395300,2017_09
2017-09-17,3685.23000000,3748.21000000,3499.02000000,3699.99000000,682.17121000,2017_09
2017-09-18,3690.00000000,4123.20000000,3690.00000000,4035.01000000,1030.00645500,2017_09
2017-09-19,4060.00000000,4089.97000000,3830.91000000,3910.04000000,902.33212900,2017_09
2017-09-20,3910.04000000,4046.08000000,3820.00000000,3900.00000000,720.93507600,2017_09
2017-09-21,3889.99000000,3910.00000000,3567.00000000,3609.99000000,1001.65408400,2017_09
2017-09-22,3592.84000000,3750.00000000,3505.55000000,3595.87000000,838.96642500,2017_09
2017-09-23,3595.88000000,3817.19000000,3542.91000000,3780.00000000,752.79279100,2017_09
2017-09-24,3779.54000000,3789.99000000,3622.76000000,3660.02000000,661.63639000,2017_09
2017-09-25,3660.02000000,3979.87000000,3653.69000000,3920.75000000,727.99471300,2017_09
2017-09-26,3928.00000000,3976.99000000,3850.05000000,3882.35000000,526.72798700,2017_09
2017-09-27,3882.36000000,4249.94000000,3872.81000000,4193.00000000,628.17096600,2017_09
2017-09-28,4192.11000000,4300.00000000,4101.00000000,4174.50000000,849.78532500,2017_09
2017-09-29,4178.98000000,4263.86000000,3952.01000000,4174.69000000,1602.30956500,2017_09
2017-09-30,4175.00000000,4380.00000000,4138.10000000,4378.51000000,720.35318300,2017_09
