timestamp,open,high,low,close,volume,year_month
2023-07-01,30471.99000000,30661.60000000,30320.57000000,30585.90000000,17501.75075000,2023_07
2023-07-02,30585.90000000,30791.00000000,30155.00000000,30617.03000000,23286.41019000,2023_07
2023-07-03,30617.02000000,31380.00000000,30570.27000000,31156.20000000,43761.64311000,2023_07
2023-07-04,31156.20000000,31350.69000000,30620.00000000,30766.51000000,33206.11943000,2023_07
2023-07-05,30766.52000000,30878.07000000,30200.00000000,30504.81000000,33215.67122000,2023_07
2023-07-06,30504.80000000,31500.00000000,29850.45000000,29895.43000000,71319.62610000,2023_07
2023-07-07,29895.42000000,30449.00000000,29701.02000000,30344.70000000,34070.53895000,2023_07
2023-07-08,30344.70000000,30386.81000000,30044.47000000,30284.63000000,13094.59042000,2023_07
2023-07-09,30284.63000000,30445.52000000,30061.12000000,30160.71000000,15388.50196000,2023_07
2023-07-10,30160.71000000,31045.78000000,29950.00000000,30411.57000000,41262.87652000,2023_07
2023-07-11,30411.57000000,30813.63000000,30300.00000000,30622.10000000,28476.83311000,2023_07
2023-07-12,30622.10000000,30983.25000000,30210.00000000,30380.00000000,38108.99669000,2023_07
2023-07-13,30380.00000000,31804.20000000,30251.00000000,31454.23000000,70772.51836000,2023_07
2023-07-14,31454.23000000,31630.00000000,29900.00000000,30312.01000000,60749.48424000,2023_07
2023-07-15,30312.00000000,30390.90000000,30200.00000000,30289.52000000,14118.55329000,2023_07
2023-07-16,30289.52000000,30441.46000000,30064.29000000,30231.99000000,15760.12810000,2023_07
2023-07-17,30232.00000000,30336.96000000,29659.20000000,30138.00000000,30882.76839000,2023_07
2023-07-18,30138.01000000,30239.78000000,29512.00000000,29859.13000000,30003.86010000,2023_07
2023-07-19,29859.14000000,30189.09000000,29761.96000000,29909.21000000,25657.36137000,2023_07
2023-07-20,29909.21000000,30417.46000000,29570.96000000,29800.00000000,37540.68193000,2023_07
2023-07-21,29800.00000000,30061.70000000,29726.34000000,29901.72000000,23881.40865000,2023_07
2023-07-22,29901.72000000,29999.00000000,29625.10000000,29794.00000000,14660.40467000,2023_07
2023-07-23,29793.99000000,30350.00000000,29730.00000000,30083.75000000,18292.78637000,2023_07
2023-07-24,30083.75000000,30099.58000000,28861.90000000,29176.50000000,39628.99691000,2023_07
2023-07-25,29176.50000000,29376.00000000,29047.65000000,29228.91000000,21565.74780000,2023_07
2023-07-26,29228.91000000,29690.00000000,29096.94000000,29351.96000000,33931.63366000,2023_07
2023-07-27,29351.95000000,29567.49000000,29083.85000000,29222.78000000,22476.47626000,2023_07
2023-07-28,29222.78000000,29542.22000000,29123.12000000,29314.14000000,23993.61627000,2023_07
2023-07-29,29314.14000000,29406.92000000,29256.18000000,29352.90000000,10851.36844000,2023_07
2023-07-30,29352.90000000,29449.00000000,29033.24000000,29281.09000000,15706.97441000,2023_07
2023-07-31,29281.09000000,29530.00000000,29101.80000000,29232.25000000,22605.48964000,2023_07
