timestamp,open,high,low,close,volume,year_month
2017-08-17,4261.48000000,4485.39000000,4200.74000000,4285.08000000,795.15037700,2017_08
2017-08-18,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400,2017_08
2017-08-19,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300,2017_08
2017-08-20,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200,2017_08
2017-08-21,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000,2017_08
2017-08-22,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800,2017_08
2017-08-23,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500,2017_08
2017-08-24,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300,2017_08
2017-08-25,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000,2017_08
2017-08-26,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800,2017_08
2017-08-27,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500,2017_08
2017-08-28,4310.01000000,4399.82000000,4124.54000000,4386.69000000,603.84161600,2017_08
2017-08-29,4353.65000000,4625.85000000,4313.55000000,4587.48000000,603.54502800,2017_08
2017-08-30,4564.52000000,4647.51000000,4416.01000000,4555.14000000,808.46877100,2017_08
2017-08-31,4555.14000000,4745.42000000,4555.14000000,4724.89000000,556.95680200,2017_08
