timestamp,open,high,low,close,volume,year_month
2022-09-01,20048.44000000,20208.37000000,19565.66000000,20131.46000000,245289.97263000,2022_09
2022-09-02,20132.64000000,20441.26000000,19755.29000000,19951.86000000,245986.60330000,2022_09
2022-09-03,19950.98000000,20055.93000000,19652.72000000,19831.90000000,146639.03204000,2022_09
2022-09-04,19832.45000000,20029.23000000,19583.10000000,20000.30000000,145588.77893000,2022_09
2022-09-05,20000.30000000,20057.27000000,19633.83000000,19796.84000000,222543.01057000,2022_09
2022-09-06,19795.34000000,20180.00000000,18649.51000000,18790.61000000,356315.05718000,2022_09
2022-09-07,18790.61000000,19464.06000000,18510.77000000,19292.84000000,287394.77880000,2022_09
2022-09-08,19292.85000000,19458.25000000,19012.00000000,19319.77000000,262813.28273000,2022_09
2022-09-09,19320.54000000,21597.22000000,19291.75000000,21360.11000000,428919.74652000,2022_09
2022-09-10,21361.62000000,21810.80000000,21111.13000000,21648.34000000,307997.33504000,2022_09
2022-09-11,21647.21000000,21860.00000000,21350.00000000,21826.87000000,280702.55149000,2022_09
2022-09-12,21826.87000000,22488.00000000,21538.51000000,22395.74000000,395395.61828000,2022_09
2022-09-13,22395.44000000,22799.00000000,19860.00000000,20173.57000000,431915.03333000,2022_09
2022-09-14,20173.62000000,20541.48000000,19617.62000000,20226.71000000,340826.40151000,2022_09
2022-09-15,20227.17000000,20330.24000000,19497.00000000,19701.88000000,333069.76076000,2022_09
2022-09-16,19701.88000000,19890.00000000,19320.01000000,19803.30000000,283791.07064000,2022_09
2022-09-17,19803.30000000,20189.00000000,19748.08000000,20113.62000000,179350.24338000,2022_09
2022-09-18,20112.61000000,20117.26000000,19335.62000000,19416.18000000,254217.46904000,2022_09
2022-09-19,19417.45000000,19686.20000000,18232.56000000,19537.02000000,380512.40306000,2022_09
2022-09-20,19537.02000000,19634.62000000,18711.87000000,18875.00000000,324098.32860000,2022_09
2022-09-21,18874.31000000,19956.00000000,18125.98000000,18461.36000000,385034.10021000,2022_09
2022-09-22,18461.36000000,19550.17000000,18356.39000000,19401.63000000,379321.72111000,2022_09
2022-09-23,19401.63000000,19500.00000000,18531.42000000,19289.91000000,385886.91829000,2022_09
2022-09-24,19288.57000000,19316.14000000,18805.34000000,18920.50000000,239496.56746000,2022_09
2022-09-25,18921.99000000,19180.21000000,18629.20000000,18807.38000000,191191.44920000,2022_09
2022-09-26,18809.13000000,19318.96000000,18680.72000000,19227.82000000,439239.21943000,2022_09
2022-09-27,19226.68000000,20385.86000000,18816.32000000,19079.13000000,593260.74161000,2022_09
2022-09-28,19078.10000000,19790.00000000,18471.28000000,19412.82000000,521385.45547000,2022_09
2022-09-29,19412.82000000,19645.52000000,18843.01000000,19591.51000000,406424.93256000,2022_09
2022-09-30,19590.54000000,20185.00000000,19155.36000000,19422.61000000,444322.95340000,2022_09
